iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00544620803868201	0.00540339227585689	0.00548902380150713	Assemblage1	0.00544620803868201	1	Rarefaction	1	1	0.997565270927424	1.00243472907258
Assemblage1	314	Rarefaction	1	163.954542739486	163.223930358376	164.685155120596	0.497707720800827	0.495130690622583	0.500284750979072	Assemblage1	0.497707719887275	314	Rarefaction	1	163.954542211247	161.789289493121	166.119794929372
Assemblage1	628	Rarefaction	1	237.783370439761	236.348458924051	239.21828195547	0.61355115505647	0.611443774289432	0.615658535823508	Assemblage1	0.613551153287272	628	Rarefaction	1	237.783369174505	234.884664640406	240.682073708604
Assemblage1	942	Rarefaction	1	285.045314006839	283.086464955373	287.004163058304	0.677063946245964	0.675405907652598	0.67872198483933	Assemblage1	0.677063946305235	942	Rarefaction	1	285.045314053329	281.8291541656	288.261473941058
Assemblage1	1255	Rarefaction	1	319.024848750123	316.6673924372	321.382305063046	0.719437776086657	0.718098972003151	0.720776580170164	Assemblage1	0.719437773612835	1255	Rarefaction	1	319.024846785656	315.610978110462	322.43871546085
Assemblage1	1569	Rarefaction	1	345.246847443905	342.573696445312	347.919998442499	0.750641691968707	0.749531068720642	0.751752315216772	Assemblage1	0.750641696482286	1569	Rarefaction	1	345.246851332975	341.681562104143	348.812140561808
Assemblage1	1883	Rarefaction	1	366.263006978239	363.333579827132	369.192434129347	0.774809028860413	0.77386247771118	0.775755580009645	Assemblage1	0.774809030619529	1883	Rarefaction	1	366.263008578506	362.573006738485	369.953010418526
Assemblage1	2196	Rarefaction	1	383.557720216642	380.416145745378	386.699294687907	0.794168587367492	0.793338997581962	0.794998177153021	Assemblage1	0.794168586471774	2196	Rarefaction	1	383.557719456071	379.761917775879	387.353521136264
Assemblage1	2510	Rarefaction	1	398.198824122275	394.877301199319	401.520347045231	0.810201480152743	0.80945509307596	0.810947867229525	Assemblage1	0.81020148152399	2510	Rarefaction	1	398.198825396876	394.310825421406	402.086825372346
Assemblage1	2824	Rarefaction	1	410.764123552675	407.288232032714	414.240015072635	0.823712123871296	0.823025115569588	0.824399132173005	Assemblage1	0.82371212290875	2824	Rarefaction	1	410.764122656686	406.79472214085	414.733523172523
Assemblage1	3137	Rarefaction	1	421.665250121488	418.055685628666	425.274814614309	0.835255816923278	0.834612630819595	0.835899003026961	Assemblage1	0.835255817877445	3137	Rarefaction	1	421.665250989256	417.623169094581	425.707332883931
Assemblage1	3451	Rarefaction	1	431.291776701908	427.564487771287	435.01906563253	0.845319753216026	0.844711339509287	0.845928166922766	Assemblage1	0.845319752111243	3451	Rarefaction	1	431.291775631522	427.183591301707	435.399959961338
Assemblage1	3765	Rarefaction	1	439.84500861475	436.013449178808	443.676568050691	0.854165042296683	0.853586388193435	0.854743696399932	Assemblage1	0.854165041052789	3765	Rarefaction	1	439.845007366298	435.676295051196	444.013719681401
Assemblage1	4079	Rarefaction	1	447.506606283232	443.581955398423	451.431257168042	0.862015616445209	0.861464247117071	0.862566985773347	Assemblage1	0.862015617097013	4079	Rarefaction	1	447.506606894918	443.282005659021	451.731208130815
Assemblage1	4392	Rarefaction	1	454.396841875612	450.388748991441	458.404934759783	0.869020695029461	0.868495411949066	0.869545978109856	Assemblage1	0.869020694913532	4392	Rarefaction	1	454.396841779731	450.120419415128	458.673264144333
Assemblage1	4706	Rarefaction	1	460.671203011846	456.587370043556	464.755035980136	0.875356964891324	0.87485733852491	0.875856591257739	Assemblage1	0.875356964712568	4706	Rarefaction	1	460.671202832769	456.346142159773	464.996263505765
Assemblage1	5020	Rarefaction	1	466.396343793688	462.24361077146	470.549076815916	0.88110520915061	0.880630888669925	0.881579529631296	Assemblage1	0.881105207691684	5020	Rarefaction	1	466.396342329498	462.025553646202	470.767131012794
Assemblage1	5333	Rarefaction	1	471.629325756494	467.413793895089	475.844857617898	0.886333043476439	0.885883532238389	0.886782554714488	Assemblage1	0.886333043414898	5333	Rarefaction	1	471.629325695311	467.215504832974	476.043146557647
Assemblage1	5647	Rarefaction	1	476.463634923525	472.190239683168	480.737030163882	0.891141531882635	0.890716324885297	0.891566738879972	Assemblage1	0.891141531832452	5647	Rarefaction	1	476.463634843542	472.008921935214	480.91834775187
Assemblage1	5961	Rarefaction	1	480.931945833923	476.605195148762	485.258696519084	0.895568917685381	0.895167238093039	0.895970597277723	Assemblage1	0.895568917004475	5961	Rarefaction	1	480.931945128018	476.438394866748	485.425495389287
Assemblage1	6274	Rarefaction	1	485.063628878429	480.687648168538	489.439609588319	0.899648876462399	0.899269700943481	0.900028051981317	Assemblage1	0.899648875936935	6274	Rarefaction	1	485.06362834038	480.533222397011	489.594034283749
Assemblage1	6588	Rarefaction	1	488.920652726266	484.498802883983	493.342502568549	0.903446101492653	0.903088408493936	0.903803794491369	Assemblage1	0.903446101191459	6588	Rarefaction	1	488.920652421898	484.354983040968	493.486321802827
Assemblage1	6902	Rarefaction	1	492.519766149354	488.055187473384	496.984344825323	0.906979775999386	0.906642367615367	0.907317184383406	Assemblage1	0.906979776602405	6902	Rarefaction	1	492.519766773932	487.92041813457	497.119115413294
Assemblage1	7216	Rarefaction	1	495.887132043385	491.382635987401	500.391628099369	0.910277771920811	0.909959385678253	0.91059615816337	Assemblage1	0.910277771799573	7216	Rarefaction	1	495.887131923926	491.255577676804	500.518686171049
Assemblage1	7529	Rarefaction	1	499.035628752927	494.493858712557	503.577398793297	0.913354480839038	0.913053768728769	0.913655192949307	Assemblage1	0.913354480873636	7529	Rarefaction	1	499.035628801714	494.373340128823	503.697917474606
Assemblage1	7843	Rarefaction	1	502.005007260155	497.428123447576	506.581891072735	0.91625015313055	0.91596587605898	0.916534430202119	Assemblage1	0.916250152622177	7843	Rarefaction	1	502.005006742264	497.313177143999	506.696836340528
Assemblage1	8157	Rarefaction	1	504.802104522906	500.192176033929	509.412033011884	0.918972571046598	0.918703447967344	0.919241694125853	Assemblage1	0.918972571395411	8157	Rarefaction	1	504.802104887859	500.081948824139	509.522260951579
Assemblage1	8470	Rarefaction	1	507.433878989655	502.792883907224	512.074874072085	0.921529469369017	0.92127420806289	0.921784730675144	Assemblage1	0.921529470024705	8470	Rarefaction	1	507.433879666757	502.686632361475	512.18112697204
Assemblage1	8784	Rarefaction	1	509.930472083984	505.260025507504	514.600918660463	0.923950908363129	0.923708345533634	0.924193471192624	Assemblage1	0.923950908701605	8784	Rarefaction	1	509.930472431001	505.15713210422	514.703812757781
Assemblage1	9098	Rarefaction	1	512.295080029948	507.5967535065	516.993406553395	0.926240615892705	0.926009587424473	0.926471644360936	Assemblage1	0.926240616216671	9098	Rarefaction	1	512.295080364458	507.496675843485	517.09348488543
Assemblage1	9411	Rarefaction	1	514.531286319908	509.806604197709	519.255968442107	0.928402623773332	0.928181981205833	0.928623266340832	Assemblage1	0.928402624004488	9411	Rarefaction	1	514.531286571909	509.708870608345	519.353702535474
Assemblage1	9725	Rarefaction	1	516.662776872927	511.912980327669	521.412573418185	0.930460294030359	0.930249001584818	0.9306715864759	Assemblage1	0.930460294570476	9725	Rarefaction	1	516.662777453185	511.81719806607	521.5083568403
Assemblage1	10039	Rarefaction	1	518.690667066188	513.916980885712	523.464353246664	0.932415083557172	0.932212114862604	0.93261805225174	Assemblage1	0.932415083144116	10039	Rarefaction	1	518.690666625434	513.822805802551	523.558527448317
Assemblage1	10352	Rarefaction	1	520.616547106476	515.820174676367	525.412919536586	0.934268879333759	0.934073227789209	0.93446453087831	Assemblage1	0.93426887891084	10352	Rarefaction	1	520.616546645523	515.727308737633	525.505784553412
Assemblage1	10666	Rarefaction	1	522.459559873328	517.64147694692	527.277642799736	0.936040404142593	0.935851148757009	0.936229659528178	Assemblage1	0.93604040416471	10666	Rarefaction	1	522.459559897567	517.549674342232	527.369445452902
Assemblage1	10980	Rarefaction	1	524.219606244884	519.380788044134	529.058424445633	0.937729810315135	0.937546042045276	0.937913578584994	Assemblage1	0.937729810600701	10980	Rarefaction	1	524.219606539133	519.289830764383	529.149382313884
Assemblage1	11294	Rarefaction	1	525.902313270694	521.043667395821	530.760959145567	0.939342729415426	0.93916357493207	0.939521883898782	Assemblage1	0.939342729690312	11294	Rarefaction	1	525.902313558233	520.953372312645	530.851254803822
Assemblage1	11607	Rarefaction	1	527.507779357655	522.630211258533	532.385347456777	0.940879471110798	0.940704082007874	0.941054860213722	Assemblage1	0.940879471612151	11607	Rarefaction	1	527.507779879591	522.540420720664	532.475139038519
Assemblage1	11921	Rarefaction	1	529.050917144423	524.155155757991	533.946678530856	0.942354493725172	0.942182082248806	0.942526905201537	Assemblage1	0.942354493398095	11921	Rarefaction	1	529.050916803014	524.065736442828	534.036097163201
