iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00498593135557879	0.00485143061359224	0.00512043209756534	Assemblage1	0.00498600382540348	1	Rarefaction	1	1.00001454708375	0.989965645127485	1.01006344904002
Assemblage1	312	Rarefaction	1	176.462355622188	175.452064762872	177.472646481504	0.421806974117027	0.420271620563372	0.423342327670682	Assemblage1	0.42180698076512	312	Rarefaction	1	176.462361101906	174.813296311644	178.111425892167
Assemblage1	624	Rarefaction	1	268.711698004878	267.100213045754	270.323182964003	0.513833921985069	0.512191296534767	0.51547654743537	Assemblage1	0.513833925369112	624	Rarefaction	1	268.711702066783	266.407899019797	271.01550511377
Assemblage1	936	Rarefaction	1	333.821267776416	331.801054919064	335.841480633768	0.564845619396412	0.563214122725348	0.566477116067475	Assemblage1	0.564845622988028	936	Rarefaction	1	333.821272717644	331.122596982766	336.519948452523
Assemblage1	1248	Rarefaction	1	384.468309075731	382.13646616698	386.800151984482	0.600211755399215	0.598612013300702	0.601811497497728	Assemblage1	0.600211756012321	1248	Rarefaction	1	384.468310033403	381.489280465382	387.447339601424
Assemblage1	1560	Rarefaction	1	425.935539154795	423.351192315166	428.519885994425	0.627294730083306	0.625742887390214	0.628846572776397	Assemblage1	0.627294732478886	1560	Rarefaction	1	425.935542988361	422.747422268652	429.12366370807
Assemblage1	1871	Rarefaction	1	460.895178319964	458.099028015022	463.691328624906	0.649134698365035	0.647637836203707	0.650631560526364	Assemblage1	0.64913469717733	1871	Rarefaction	1	460.895176326264	457.544504068593	464.245848583934
Assemblage1	2183	Rarefaction	1	491.22973602201	488.250197585963	494.209274458057	0.667486681741864	0.666044543860567	0.66892881962316	Assemblage1	0.667486681784753	2183	Rarefaction	1	491.229736087631	487.743578009316	494.715894165946
Assemblage1	2495	Rarefaction	1	517.899598659702	514.758901386053	521.040295933351	0.683232380822257	0.681840699975297	0.684624061669217	Assemblage1	0.683232380817511	2495	Rarefaction	1	517.899598714074	514.294106053399	521.505091374749
Assemblage1	2807	Rarefaction	1	541.651277249068	538.36696556186	544.935588936277	0.696989103288298	0.695642662493061	0.698335544083535	Assemblage1	0.696989104588585	2807	Rarefaction	1	541.651279444091	537.936633005746	545.365925882436
