iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00145023237169162	0.00144055447961113	0.00145991026377211	Assemblage1	0.00145025431926704	1	Rarefaction	1	1.0000153028026	1.0000153028026	1.0000153028026
Assemblage1	700	Rarefaction	1	472.34611045141	471.338111703157	473.354109199663	0.313754907464275	0.31242790103776	0.315081913890789	Assemblage1	0.313754915927073	700	Rarefaction	1	472.346134610237	467.679847681525	477.012421538949
Assemblage1	1400	Rarefaction	1	770.806174226543	768.528621757124	773.083726695963	0.403619019993863	0.402378765879235	0.404859274108491	Assemblage1	0.403619017872691	1400	Rarefaction	1	770.806166924374	763.925529077037	777.686804771711
Assemblage1	2099	Rarefaction	1	998.532304888236	995.119386407732	1001.94522336874	0.458519472577161	0.4575059174605	0.459533027693821	Assemblage1	0.458519468773611	2099	Rarefaction	1	998.532287759132	990.805216288316	1006.25935922995
Assemblage1	2799	Rarefaction	1	1184.87855904981	1180.48359539487	1189.27352270475	0.498120821840867	0.497292053156413	0.498949590525321	Assemblage1	0.498120821619853	2799	Rarefaction	1	1184.87855823782	1176.75321125729	1193.00390521834
Assemblage1	3499	Rarefaction	1	1342.9143525966	1337.67042100378	1348.15828418942	0.528906766274333	0.528192456075423	0.529621076473243	Assemblage1	0.528906764545424	3499	Rarefaction	1	1342.91434358931	1334.49697857936	1351.33170859926
Assemblage1	4198	Rarefaction	1	1480.06981302566	1474.08572530312	1486.05390074821	0.553938278526152	0.553284858343311	0.554591698708993	Assemblage1	0.553938277858839	4198	Rarefaction	1	1480.06980953618	1471.37344076527	1488.76617830709
Assemblage1	4898	Rarefaction	1	1601.54192006821	1594.9033557597	1608.18048437671	0.575005988979501	0.574382833273143	0.575629144685859	Assemblage1	0.575005989175461	4898	Rarefaction	1	1601.54192304367	1592.56190196157	1610.52194412578
Assemblage1	5597	Rarefaction	1	1710.23561734952	1703.01379482661	1717.45743987243	0.593104496245861	0.592497311333338	0.593711681158384	Assemblage1	0.593104495690049	5597	Rarefaction	1	1710.23561535469	1700.96993239205	1719.50129831733
Assemblage1	6297	Rarefaction	1	1808.7861438191	1801.03803479462	1816.53425284359	0.608980379508512	0.608384008564612	0.609576750452413	Assemblage1	0.608980380575138	6297	Rarefaction	1	1808.78614970986	1799.23626454367	1818.33603487606
