iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00152763899384556	0.00150825031763628	0.00154702767005484	Assemblage1	0.00152764286872076	1	Rarefaction	1	1.00000299999528	0.993039121358815	1.00696687863175
Assemblage1	1019	Rarefaction	1	611.333849094712	608.8327107266	613.834987462824	0.366351511341373	0.364467918547109	0.368235104135638	Assemblage1	0.366351514622819	1019	Rarefaction	1	611.33386097683	602.925547298119	619.742174655542
Assemblage1	2038	Rarefaction	1	963.448863839065	958.39716598714	968.50056169099	0.458367298233084	0.456441243295916	0.460293353170252	Assemblage1	0.458367300216177	2038	Rarefaction	1	963.448873422919	950.427161387947	976.47058545789
Assemblage1	3057	Rarefaction	1	1222.21651075572	1214.95891130416	1229.47411020727	0.512676872608099	0.510834736291327	0.51451900892487	Assemblage1	0.512676871641967	3057	Rarefaction	1	1222.21650724239	1206.06206886035	1238.37094562444
Assemblage1	4075	Rarefaction	1	1428.23005162024	1419.05280576697	1437.40729747351	0.550617369316587	0.548903594091046	0.552331144542129	Assemblage1	0.550617368016573	4075	Rarefaction	1	1428.23004307347	1409.85868149592	1446.60140465101
Assemblage1	5094	Rarefaction	1	1600.01984680239	1589.15125327169	1610.8884403331	0.579494666514774	0.577916125631241	0.581073207398308	Assemblage1	0.579494668454765	5094	Rarefaction	1	1600.01985829321	1580.01088108474	1620.02883550167
Assemblage1	6113	Rarefaction	1	1747.27876453755	1734.90658054145	1759.65094853366	0.602630033098516	0.601178556560505	0.604081509636527	Assemblage1	0.602630032286226	6113	Rarefaction	1	1747.27875984061	1726.01058934887	1768.54693033235
Assemblage1	7131	Rarefaction	1	1875.97233434212	1862.25256858569	1889.69210009855	0.621835998845987	0.620498287216762	0.623173710475212	Assemblage1	0.621835997887071	7131	Rarefaction	1	1875.97232662642	1853.69584440659	1898.24880884625
Assemblage1	8150	Rarefaction	1	1990.37895825832	1975.43929147151	2005.31862504513	0.638244993696825	0.637007039819367	0.639482947574283	Assemblage1	0.638244994388536	8150	Rarefaction	1	1990.37896313232	1967.26128598217	2013.49664028247
Assemblage1	9169	Rarefaction	1	2093.18143262191	2077.13074545989	2109.23211978394	0.652538157512271	0.651386518959626	0.653689796064917	Assemblage1	0.652538157638797	9169	Rarefaction	1	2093.18143320156	2069.3382594322	2117.02460697091
Assemblage1	10187	Rarefaction	1	2186.34548946328	2169.27757727442	2203.41340165214	0.665176838417017	0.664099248047769	0.666254428786265	Assemblage1	0.665176838417796	10187	Rarefaction	1	2186.34548979291	2161.8592154103	2210.83176417552
Assemblage1	11206	Rarefaction	1	2271.59863661827	2253.59240913384	2289.60486410269	0.676518040582823	0.675503745732194	0.677532335433451	Assemblage1	0.676518040047537	11206	Rarefaction	1	2271.5986315782	2246.52819078985	2296.66907236655
Assemblage1	12225	Rarefaction	1	2350.03970226732	2331.16462127812	2368.91478325652	0.686790322326891	0.685829828278056	0.687750816375725	Assemblage1	0.686790322372205	12225	Rarefaction	1	2350.03970056408	2324.42997868908	2375.64942243907
Assemblage1	13243	Rarefaction	1	2422.54367008357	2402.86133624746	2442.22600391968	0.696165671846096	0.695250692489902	0.697080651202291	Assemblage1	0.696165670521768	13243	Rarefaction	1	2422.54365864808	2396.4300557948	2448.65726150137
Assemblage1	14262	Rarefaction	1	2490.0113876778	2469.57465320697	2510.44812214864	0.704800983332684	0.703924469055889	0.705677497609479	Assemblage1	0.704800983663147	14262	Rarefaction	1	2490.01138831801	2463.42152602563	2516.60125061039
Assemblage1	15281	Rarefaction	1	2552.98901894703	2531.84554435622	2574.13249353785	0.712795098643798	0.711950993868618	0.713639203418978	Assemblage1	0.7127950978265	15281	Rarefaction	1	2552.98901318081	2525.94631672347	2580.03170963816
Assemblage1	16299	Rarefaction	1	2611.93390486853	2590.12689538598	2633.74091435107	0.720227376904234	0.719410537478931	0.721044216329538	Assemblage1	0.720227376458089	16299	Rarefaction	1	2611.93390096675	2584.4588515334	2639.4089504001
Assemblage1	17318	Rarefaction	1	2667.39164291995	2644.95866470926	2689.82462113064	0.727182305383964	0.726388469662857	0.727976141105072	Assemblage1	0.727182305506234	17318	Rarefaction	1	2667.39164429265	2639.50149911434	2695.28178947096
Assemblage1	18337	Rarefaction	1	2719.66654163757	2696.64210553862	2742.69097773652	0.733709719936816	0.732935322461367	0.734484117412265	Assemblage1	0.733709721388526	18337	Rarefaction	1	2719.66655307556	2691.37727538541	2747.95583076571
Assemblage1	19356	Rarefaction	1	2769.06957365332	2745.48496776678	2792.65417953985	0.739857295177916	0.739099395980155	0.740615194375676	Assemblage1	0.739857294504139	19356	Rarefaction	1	2769.06956754697	2740.39574705846	2797.74338803548
Assemblage1	20374	Rarefaction	1	2815.82379000929	2791.70800759769	2839.93957242089	0.745659517337127	0.74491569605632	0.746403338617934	Assemblage1	0.745659516716844	20374	Rarefaction	1	2815.82378514838	2786.77940759292	2844.86816270383
Assemblage1	21393	Rarefaction	1	2860.25314954703	2835.63168968689	2884.87460940716	0.751161700364464	0.750430011836002	0.751893388892927	Assemblage1	0.751161699536217	21393	Rarefaction	1	2860.25314214512	2830.85060095935	2889.65568333089
Assemblage1	22412	Rarefaction	1	2902.51333670978	2877.41007690698	2927.61659651258	0.756387017324759	0.755665874389772	0.757108160259746	Assemblage1	0.756387018351639	22412	Rarefaction	1	2902.51334346309	2872.76475748879	2932.26192943738
Assemblage1	23430	Rarefaction	1	2942.74394386558	2917.18129678898	2968.30659094218	0.761355732970371	0.760643847668626	0.762067618272117	Assemblage1	0.761355732350365	23430	Rarefaction	1	2942.74393970471	2912.66112983317	2972.82674957625
Assemblage1	24449	Rarefaction	1	2981.1812757786	2955.17906111426	3007.18349044294	0.766099324825443	0.765395679286447	0.766802970364439	Assemblage1	0.766099324426253	24449	Rarefaction	1	2981.18127247161	2950.77489986331	3011.58764507992
Assemblage1	25468	Rarefaction	1	3017.92458997278	2991.5015809598	3044.34759898576	0.770631788762066	0.769935560705022	0.77132801681911	Assemblage1	0.770631789051144	25468	Rarefaction	1	3017.92459099755	2987.20517089939	3048.6440110957
Assemblage1	26486	Rarefaction	1	3053.06470716647	3026.23871499331	3079.89069933962	0.77496566103443	0.774276188109713	0.775655133959148	Assemblage1	0.774965660808392	26486	Rarefaction	1	3053.06470719125	3022.04257505434	3084.08683932815
Assemblage1	27505	Rarefaction	1	3086.78217564104	3059.5690082144	3113.99534306768	0.779124210733965	0.778440977925695	0.779807443542234	Assemblage1	0.779124211254888	27505	Rarefaction	1	3086.7821791064	3055.46669239248	3118.09766582032
Assemblage1	28524	Rarefaction	1	3119.14207409795	3091.55685037869	3146.7272978172	0.783116212041144	0.782438805321343	0.783793618760946	Assemblage1	0.783116212426176	28524	Rarefaction	1	3119.14207830289	3087.54246294718	3150.74169365859
Assemblage1	29542	Rarefaction	1	3150.20503763282	3122.26223250039	3178.14784276525	0.786949686845984	0.78627777347017	0.787621600221797	Assemblage1	0.786949687115055	29542	Rarefaction	1	3150.2050403877	3118.33040639251	3182.07967438289
Assemblage1	30561	Rarefaction	1	3180.11402547537	3151.82651493523	3208.40153601552	0.790642663860693	0.789975991081628	0.791309336639758	Assemblage1	0.790642663885317	30561	Rarefaction	1	3180.11402488599	3147.97257665884	3212.25547311314
Assemblage1	31580	Rarefaction	1	3208.9124040906	3180.29260578933	3237.53220239186	0.794200762356745	0.793539127200498	0.794862397512991	Assemblage1	0.79420076261738	31580	Rarefaction	1	3208.91240661747	3176.5122638697	3241.31254936524
Assemblage1	32598	Rarefaction	1	3236.64128627252	3207.70118203353	3265.58139051151	0.797629220986979	0.796972459835135	0.798285982138824	Assemblage1	0.79762922003648	32598	Rarefaction	1	3236.64127996503	3203.99045458356	3269.2921053465
