iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00582619797754436	0.00573147940801329	0.00592091654707542	Assemblage1	0.00582619797754436	1	Rarefaction	1	1	0.999163563350918	1.00083643664908
Assemblage1	287	Rarefaction	1	152.593975142808	151.62096381113	153.566986474487	0.483940381751597	0.48140086303765	0.486479900465545	Assemblage1	0.483940376790346	287	Rarefaction	1	152.593972467352	150.255686686808	154.932258247895
Assemblage1	573	Rarefaction	1	223.062664212416	221.279955243565	224.845373181267	0.597755254376364	0.595936507661806	0.599574001090923	Assemblage1	0.597755263856348	573	Rarefaction	1	223.062670770642	220.049483059118	226.075858482167
Assemblage1	859	Rarefaction	1	268.902104969678	266.546408052376	271.257801886979	0.660785695042147	0.659630561152771	0.661940828931524	Assemblage1	0.660785691737246	859	Rarefaction	1	268.902102434472	265.69408196404	272.110122904904
Assemblage1	1145	Rarefaction	1	302.325690451068	299.549173407703	305.102207494433	0.70323710828614	0.70253604925071	0.70393816732157	Assemblage1	0.703237106757684	1145	Rarefaction	1	302.325689237459	299.032811515049	305.618566959869
Assemblage1	1431	Rarefaction	1	328.256866595634	325.159300969926	331.354432221342	0.734545185942842	0.734094228733565	0.73499614315212	Assemblage1	0.734545188855435	1431	Rarefaction	1	328.256869037894	324.89590803004	331.617830045749
Assemblage1	1717	Rarefaction	1	349.195958139035	345.845454205027	352.546462073042	0.758906014488631	0.758515980427594	0.759296048549667	Assemblage1	0.758906016609352	1717	Rarefaction	1	349.195959973371	345.762429508999	352.629490437743
Assemblage1	2003	Rarefaction	1	366.588664469581	363.033506249065	370.143822690097	0.778562522295485	0.77812823892638	0.77899680566459	Assemblage1	0.77856252161032	2003	Rarefaction	1	366.588663916274	363.075933423575	370.101394408973
Assemblage1	2289	Rarefaction	1	381.344891035638	377.62044671986	385.069335351416	0.794853398295734	0.794356745738165	0.795350050853302	Assemblage1	0.794853397893458	2289	Rarefaction	1	381.344890702197	377.748809803194	384.940971601199
Assemblage1	2575	Rarefaction	1	394.073011850644	390.205926273188	397.940097428099	0.808638118251369	0.808090999954573	0.809185236548166	Assemblage1	0.808638117997298	2575	Rarefaction	1	394.073011654988	390.392182416525	397.753840893451
