Subrepertoire	Sample	TCRa_reads	Observation_type	Shannon_diversity	Coverage
Ctsl-dependent	30903b-045	21227	Rarefaction	1096.60004456412	0.964236855005876
Ctsl-dependent	30903b-045	21507	Rarefaction	1097.91447840049	0.964855467716528
Ctsl-dependent	30903b-045	21786	Rarefaction	1099.1944210189	0.965455563701222
Ctsl-dependent	30903b-045	22065	Rarefaction	1100.44561769214	0.966039967758562
Ctsl-dependent	30903b-045	22345	Rarefaction	1101.67335636874	0.966611252305448
Ctsl-dependent	30903b-045	22624	Rarefaction	1102.86978058678	0.967165871464576
Ctsl-dependent	30903b-045	22903	Rarefaction	1104.04019530743	0.967706401394763
Ctsl-dependent	30903b-045	23183	Rarefaction	1105.1894950144	0.96823519316867
Ctsl-dependent	30903b-045	23462	Rarefaction	1106.31027109294	0.96874893599326
Ctsl-dependent	30903b-045	23741	Rarefaction	1107.40743800908	0.969249987013659
Ctsl-dependent	30903b-045	24020	Rarefaction	1108.48172923074	0.969738771575321
Ctsl-dependent	30903b-045	24300	Rarefaction	1109.53758000873	0.970217385347779
Ctsl-dependent	30903b-045	24579	Rarefaction	1110.56812536218	0.970682800695269
Ctsl-dependent	30903b-045	24858	Rarefaction	1111.57782327143	0.971137121424193
Ctsl-dependent	30903b-045	25138	Rarefaction	1112.57080649625	0.971582276524088
Ctsl-dependent	30903b-045	25417	Rarefaction	1113.54058179426	0.972015430562987
Ctsl-dependent	30903b-045	25696	Rarefaction	1114.49130524269	0.972438521620631
Ctsl-dependent	30903b-045	25976	Rarefaction	1115.4268377733	0.972853329974666
Ctsl-dependent	30903b-045	26255	Rarefaction	1116.34102935847	0.97325719689548
Ctsl-dependent	30903b-045	26534	Rarefaction	1117.23776493867	0.973651912363632
Ctsl-dependent	30903b-045	26813	Rarefaction	1118.11753630527	0.974037756199877
Ctsl-dependent	30903b-045	27093	Rarefaction	1118.98388172544	0.974416334299205
Ctsl-dependent	30903b-045	27372	Rarefaction	1119.83107044421	0.974785201851191
Ctsl-dependent	30903b-045	27651	Rarefaction	1120.662665217	0.975145974838898
Ctsl-dependent	30903b-045	27931	Rarefaction	1121.48198879889	0.975500143598561
Ctsl-dependent	30903b-045	28210	Rarefaction	1122.28359853789	0.975845409286032
Ctsl-dependent	30903b-045	28489	Rarefaction	1123.07084109974	0.976183272402506
Ctsl-dependent	30903b-045	28769	Rarefaction	1123.84684359317	0.976515118965135
Ctsl-dependent	30903b-045	29048	Rarefaction	1124.60643050605	0.976838784921267
Ctsl-dependent	30903b-045	29327	Rarefaction	1125.35275246354	0.97715566638269
Ctsl-dependent	30903b-045	29606	Rarefaction	1126.08615098762	0.97746595442354
Ctsl-dependent	30903b-045	29886	Rarefaction	1126.80951774206	0.977770911154588
Ctsl-dependent	30903b-045	30165	Rarefaction	1127.51800583929	0.978068536538291
Ctsl-dependent	30903b-045	30444	Rarefaction	1128.21452961151	0.978360102570742
Ctsl-dependent	30903b-045	30724	Rarefaction	1128.90182126635	0.978646788236107
Ctsl-dependent	30903b-045	31003	Rarefaction	1129.57526096299	0.978926706026525
Ctsl-dependent	30903b-045	31282	Rarefaction	1130.23760275351	0.979201044568583
Ctsl-dependent	30903b-045	31562	Rarefaction	1130.89143288448	0.979470907123987
Ctsl-dependent	30903b-045	31841	Rarefaction	1131.53234319924	0.979734510513124
Ctsl-dependent	30903b-045	32120	Rarefaction	1132.16294080996	0.979992967341748
Ctsl-dependent	30903b-045	32399	Rarefaction	1132.78347090478	0.980246412139697
Ctsl-dependent	30903b-045	32679	Rarefaction	1133.39634226504	0.980495857268911
Ctsl-dependent	30903b-045	32958	Rarefaction	1133.99740782904	0.980739647179036
Ctsl-dependent	30903b-045	33237	Rarefaction	1134.58909694129	0.980978803127689
Ctsl-dependent	30903b-045	33517	Rarefaction	1135.17369680406	0.981214275935615
Ctsl-dependent	30903b-045	33796	Rarefaction	1135.74724221955	0.981444497998046
Ctsl-dependent	30903b-045	34075	Rarefaction	1136.3120404719	0.981670428686825
Ctsl-dependent	30903b-045	34355	Rarefaction	1136.87026689334	0.98189296227416
Ctsl-dependent	30903b-045	34634	Rarefaction	1137.41812614512	0.98211061306345
Ctsl-dependent	30903b-045	34913	Rarefaction	1137.95781257177	0.982324283544347
Ctsl-dependent	30903b-045	35192	Rarefaction	1138.48950624319	0.982534070917521
Ctsl-dependent	30903b-045	35472	Rarefaction	1139.01524599904	0.98274080100451
Ctsl-dependent	30903b-045	35751	Rarefaction	1139.53144662563	0.982943088768035
Ctsl-dependent	30903b-045	36030	Rarefaction	1140.04016495969	0.983141767794486
Ctsl-dependent	30903b-045	36310	Rarefaction	1140.54334535375	0.983337617214456
Ctsl-dependent	30903b-045	36589	Rarefaction	1141.03754972485	0.983529321651945
Ctsl-dependent	30903b-045	36868	Rarefaction	1141.52473954944	0.983717667645414
Ctsl-dependent	30903b-045	37148	Rarefaction	1142.00677149798	0.983903391138837
Ctsl-dependent	30903b-045	37427	Rarefaction	1142.48034580853	0.984085241893282
Ctsl-dependent	30903b-045	37706	Rarefaction	1142.94733567513	0.984263962919625
Ctsl-dependent	30903b-045	37985	Rarefaction	1143.40787613939	0.984439625986467
Ctsl-dependent	30903b-045	38265	Rarefaction	1143.86371569947	0.984612914393796
Ctsl-dependent	30903b-045	38544	Rarefaction	1144.31172709679	0.98478265826144
Ctsl-dependent	30903b-045	38823	Rarefaction	1144.75367409387	0.984949547549839
Ctsl-dependent	30903b-045	39103	Rarefaction	1145.19123043093	0.985114229381942
Ctsl-dependent	30903b-045	39382	Rarefaction	1145.62138909972	0.985275589747351
Ctsl-dependent	30903b-045	39661	Rarefaction	1146.04583832212	0.985434282122946
Ctsl-dependent	30903b-045	39941	Rarefaction	1146.4661816579	0.985590920013264
Ctsl-dependent	30903b-045	40220	Rarefaction	1146.87952632098	0.985744441806848
Ctsl-dependent	30903b-045	40499	Rarefaction	1147.28748945679	0.985895467064306
Ctsl-dependent	30903b-045	40778	Rarefaction	1147.69017510786	0.986044049763721
Ctsl-dependent	30903b-045	41058	Rarefaction	1148.08909947453	0.986190762180415
Ctsl-dependent	30903b-045	41337	Rarefaction	1148.48151200134	0.986334607610676
Ctsl-dependent	30903b-045	41616	Rarefaction	1148.86894261415	0.986476164012662
Ctsl-dependent	30903b-045	41896	Rarefaction	1149.25284736304	0.986615975147424
Ctsl-dependent	30903b-045	42175	Rarefaction	1149.63057571847	0.986753089621195
Ctsl-dependent	30903b-045	42454	Rarefaction	1150.00359619055	0.986888056616617
Ctsl-dependent	30903b-045	42734	Rarefaction	1150.37330807372	0.987021393287498
Ctsl-dependent	30903b-045	43013	Rarefaction	1150.73715544335	0.987152190860254
Ctsl-dependent	30903b-045	43292	Rarefaction	1151.0965495506	0.987280971646071
Ctsl-dependent	30903b-045	43571	Rarefaction	1151.45157118428	0.987407776927959
Ctsl-dependent	30903b-045	43851	Rarefaction	1151.80354848851	0.987533091052674
Ctsl-dependent	30903b-045	44130	Rarefaction	1152.15004456103	0.987656058226955
Ctsl-dependent	30903b-045	44409	Rarefaction	1152.49239885649	0.98777716763985
Ctsl-dependent	30903b-045	44689	Rarefaction	1152.83189036774	0.987896880851271
Ctsl-dependent	30903b-045	44968	Rarefaction	1153.16616568973	0.988014379177303
Ctsl-dependent	30903b-045	45247	Rarefaction	1153.49651442396	0.988130128783276
Ctsl-dependent	30903b-045	45527	Rarefaction	1153.824168392	0.9882445698699
Ctsl-dependent	30903b-045	45806	Rarefaction	1154.14685406851	0.988356918747451
Ctsl-dependent	30903b-045	46085	Rarefaction	1154.46581359498	0.988467620018539
Ctsl-dependent	30903b-045	46365	Rarefaction	1154.78223439276	0.98857709381922
Ctsl-dependent	30903b-045	46644	Rarefaction	1155.09391894669	0.988684589532326
Ctsl-dependent	30903b-045	46923	Rarefaction	1155.40206462293	0.988790531493816
Ctsl-dependent	30903b-045	47202	Rarefaction	1155.70673084159	0.988894949450636
Ctsl-dependent	30903b-045	47482	Rarefaction	1156.00904968653	0.9889982386855
Ctsl-dependent	30903b-045	47761	Rarefaction	1156.30691861419	0.989099689846025
Ctsl-dependent	30903b-045	48040	Rarefaction	1156.60147920199	0.989199702151318
Ctsl-dependent	30903b-045	48320	Rarefaction	1156.89382414468	0.989298653514499
Ctsl-dependent	30903b-045	48599	Rarefaction	1157.18191878253	0.989395863600747
Ctsl-dependent	30903b-045	48878	Rarefaction	1157.46686513427	0.98949171408248
Ctsl-dependent	30903b-045	49158	Rarefaction	1157.74971881136	0.989586566517097
Ctsl-dependent	30903b-045	49437	Rarefaction	1158.02850944957	0.989679768039368
Ctsl-dependent	30903b-045	49716	Rarefaction	1158.30430199292	0.989771683793966
Ctsl-dependent	30903b-045	49995	Rarefaction	1158.57714378782	0.989862337242769
Ctsl-dependent	30903b-045	50275	Rarefaction	1158.84804407794	0.989952069587138
