iNextEst.size_based.Assemblage	iNextEst.size_based.m	iNextEst.size_based.Method	iNextEst.size_based.Order.q	iNextEst.size_based.qD	iNextEst.size_based.qD.LCL	iNextEst.size_based.qD.UCL	iNextEst.size_based.SC	iNextEst.size_based.SC.LCL	iNextEst.size_based.SC.UCL	iNextEst.coverage_based.Assemblage	iNextEst.coverage_based.SC	iNextEst.coverage_based.m	iNextEst.coverage_based.Method	iNextEst.coverage_based.Order.q	iNextEst.coverage_based.qD	iNextEst.coverage_based.qD.LCL	iNextEst.coverage_based.qD.UCL
Assemblage1	1	Rarefaction	1	1	1	1	0.00281180120616553	0.00279587354503173	0.00282772886729933	Assemblage1	0.00281184989803707	1	Rarefaction	1	1.00001711182839	0.998882385295936	1.00115183836084
Assemblage1	772	Rarefaction	1	378.460883621875	377.521637335656	379.400129908094	0.473349163673267	0.472425770454319	0.474272556892215	Assemblage1	0.473349165927006	772	Rarefaction	1	378.460887678655	375.959816465469	380.96195889184
Assemblage1	1544	Rarefaction	1	556.769134262695	555.078517361889	558.459751163502	0.556818286446988	0.55589570612454	0.557740866769435	Assemblage1	0.556818287050721	1544	Rarefaction	1	556.769135123342	553.030877766986	560.507392479697
Assemblage1	2316	Rarefaction	1	679.159648208598	676.877256652119	681.442039765077	0.602913529574187	0.601941162993674	0.603885896154699	Assemblage1	0.602913529723208	2316	Rarefaction	1	679.159648360577	674.379608916282	683.939687804873
Assemblage1	3088	Rarefaction	1	772.92112079648	770.139806803938	775.702434789022	0.634194365396916	0.633190268838976	0.635198461954855	Assemblage1	0.6341943654536	3088	Rarefaction	1	772.921121655534	767.300286595919	778.541956715149
Assemblage1	3860	Rarefaction	1	848.974104709487	845.75761231152	852.190597107455	0.657596861916574	0.656575524795059	0.65861819903809	Assemblage1	0.657596862379244	3860	Rarefaction	1	848.974106075376	842.670120970829	855.278091179923
Assemblage1	4632	Rarefaction	1	912.907011142242	909.303105697138	916.510916587346	0.676161408083997	0.675127287581114	0.677195528586879	Assemblage1	0.676161407637148	4632	Rarefaction	1	912.907009654991	906.030862979109	919.783156330874
Assemblage1	5404	Rarefaction	1	967.993075517144	964.039441187264	971.946709847024	0.691478447164547	0.690432480223693	0.6925244141054	Assemblage1	0.691478447300128	5404	Rarefaction	1	967.993076271671	960.626429434933	975.35972310841
Assemblage1	6175	Rarefaction	1	1016.2658266769	1011.99362167626	1020.53803167753	0.704461550181157	0.703405168829716	0.705517931532597	Assemblage1	0.704461549769148	6175	Rarefaction	1	1016.26582522735	1008.47478802932	1024.05686242539
Assemblage1	6947	Rarefaction	1	1059.27223571616	1054.70677699515	1063.83769443716	0.715730482516935	0.71466659538944	0.71679436964443	Assemblage1	0.715730482424053	6947	Rarefaction	1	1059.27223535882	1051.11246769077	1067.43200302687
