	31411-001	31411-003	31411-005	31411-007	31411-002	31411-004	31411-006	31411-008
31411-001	1	0.964615797156318	0.979530572497771	0.933937717694299	0.00164602634415856	0.0027323918694373	0.00161987095278948	0.00116861245106881
31411-003	0.964615797156318	1	0.942654777804936	0.903858626976735	0.00287925676774137	0.005968108035033	0.00284443876180829	0.00214760517553203
31411-005	0.979530572497771	0.942654777804936	1	0.928244793136329	0.00158806123986044	0.00240406236099511	0.00156197659927049	0.00105663101668485
31411-007	0.933937717694299	0.903858626976735	0.928244793136329	1	0.00311211476281492	0.00568121720106118	0.00291717706988481	0.00210266218341915
31411-002	0.00164602634415856	0.00287925676774137	0.00158806123986044	0.00311211476281492	1	0.929347399486664	0.965081058017391	0.952880652081978
31411-004	0.0027323918694373	0.005968108035033	0.00240406236099511	0.00568121720106118	0.929347399486664	1	0.926936666831372	0.871972029753389
31411-006	0.00161987095278948	0.00284443876180829	0.00156197659927049	0.00291717706988481	0.965081058017391	0.926936666831372	1	0.924712970734644
31411-008	0.00116861245106881	0.00214760517553203	0.00105663101668485	0.00210266218341915	0.952880652081978	0.871972029753389	0.924712970734643	1
